path,car,source_video,start_time,label
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0000.00.wav,acura_nsx_nc1,4hK5xAHUk7E,0.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0002.50.wav,acura_nsx_nc1,4hK5xAHUk7E,2.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0005.00.wav,acura_nsx_nc1,4hK5xAHUk7E,5.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0007.50.wav,acura_nsx_nc1,4hK5xAHUk7E,7.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0010.00.wav,acura_nsx_nc1,4hK5xAHUk7E,10.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0012.50.wav,acura_nsx_nc1,4hK5xAHUk7E,12.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0015.00.wav,acura_nsx_nc1,4hK5xAHUk7E,15.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0017.50.wav,acura_nsx_nc1,4hK5xAHUk7E,17.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0020.00.wav,acura_nsx_nc1,4hK5xAHUk7E,20.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0022.50.wav,acura_nsx_nc1,4hK5xAHUk7E,22.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0025.00.wav,acura_nsx_nc1,4hK5xAHUk7E,25.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0027.50.wav,acura_nsx_nc1,4hK5xAHUk7E,27.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0030.00.wav,acura_nsx_nc1,4hK5xAHUk7E,30.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0032.50.wav,acura_nsx_nc1,4hK5xAHUk7E,32.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0035.00.wav,acura_nsx_nc1,4hK5xAHUk7E,35.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0037.50.wav,acura_nsx_nc1,4hK5xAHUk7E,37.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0040.00.wav,acura_nsx_nc1,4hK5xAHUk7E,40.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0042.50.wav,acura_nsx_nc1,4hK5xAHUk7E,42.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0045.00.wav,acura_nsx_nc1,4hK5xAHUk7E,45.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0047.50.wav,acura_nsx_nc1,4hK5xAHUk7E,47.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0050.00.wav,acura_nsx_nc1,4hK5xAHUk7E,50.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0052.50.wav,acura_nsx_nc1,4hK5xAHUk7E,52.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0055.00.wav,acura_nsx_nc1,4hK5xAHUk7E,55.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0057.50.wav,acura_nsx_nc1,4hK5xAHUk7E,57.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0060.00.wav,acura_nsx_nc1,4hK5xAHUk7E,60.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0062.50.wav,acura_nsx_nc1,4hK5xAHUk7E,62.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0065.00.wav,acura_nsx_nc1,4hK5xAHUk7E,65.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0067.50.wav,acura_nsx_nc1,4hK5xAHUk7E,67.5,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0070.00.wav,acura_nsx_nc1,4hK5xAHUk7E,70.0,idle
data/windows/acura_nsx_nc1/4hK5xAHUk7E_0072.50.wav,acura_nsx_nc1,4hK5xAHUk7E,72.5,idle
